FechaVenta,PredictedSales
2025-06-25,8070710.5005
2025-06-26,8070710.5005
2025-06-27,9155489.559
2025-06-28,9155489.559
2025-06-29,7294380.762
2025-06-30,7326914.676
2025-07-01,7953130.9935
2025-07-02,7809965.1825
2025-07-03,7809965.1825
2025-07-04,9001928.6775
2025-07-05,9001928.6775
2025-07-06,7149608.1915
2025-07-07,6970660.674
2025-07-08,7596875.907
2025-07-09,7599445.497
2025-07-10,7599445.497
2025-07-11,8692839.405
2025-07-12,8692839.405
2025-07-13,6939088.4925
2025-07-14,6706419.5955
2025-07-15,9834277.941
2025-07-16,7335129.7530000005
2025-07-17,7339424.1899999995
2025-07-18,8428523.781
2025-07-19,8428523.781
2025-07-20,6681136.329
2025-07-21,6643628.717999999
2025-07-22,7277937.948
2025-07-23,7277937.948
2025-07-24,7056177.258
2025-07-25,8145276.899999999
2025-07-26,8145276.899999999
2025-07-27,6391525.9575000005
2025-07-28,6425798.0879999995
2025-07-29,7054508.2905
2025-07-30,7054508.2905
2025-07-31,7054508.2905
2025-08-01,8052216.72
2025-08-02,8052216.72
2025-08-03,6298465.8855
2025-08-04,6068558.4555
2025-08-05,6694083.9525
2025-08-06,6694083.9525
2025-08-07,6694083.9525
2025-08-08,7765203.75
2025-08-09,7765203.75
2025-08-10,6046400.0655000005
2025-08-11,6035660.7285
2025-08-12,6661186.0485
2025-08-13,6661186.0485
2025-08-14,6661186.0485
2025-08-15,7631670.6705
2025-08-16,7631670.6705
2025-08-17,6013502.3295
2025-08-18,5730422.4315
2025-08-19,6355947.84
2025-08-20,6355947.84
2025-08-21,6352940.64
2025-08-22,7323425.2725
2025-08-23,7323425.2725
2025-08-24,5708664.6104999995
2025-08-25,5617185.2295
2025-08-26,6242710.6620000005
2025-08-27,6242710.6620000005
2025-08-28,6239703.462
2025-08-29,7186137.1274999995
2025-08-30,10019059.986
2025-08-31,5594590.8465
2025-09-01,5538792.2475000005
2025-09-02,8496517.671
2025-09-03,6162867.141
2025-09-04,6159859.941
2025-09-05,7082211.9045
2025-09-06,9979317.018
2025-09-07,5516219.475
2025-09-08,5537341.7475
2025-09-09,6162867.141
2025-09-10,6162867.141
2025-09-11,5979170.6535
2025-09-12,6800921.466
2025-09-13,6800921.466
2025-09-14,5335530.0135
2025-09-15,5356652.4255
2025-09-16,5874510.0345
2025-09-17,5872417.8495000005
2025-09-18,5832623.0865
2025-09-19,6762041.706
2025-09-20,6762041.706
2025-09-21,5296650.33
2025-09-22,5317772.5965
2025-09-23,5791014.9555
2025-09-24,5791014.9555
2025-09-25,7855466.592
2025-09-26,6675795.9345
2025-09-27,6675795.9345
2025-09-28,5210404.6395
2025-09-29,5187774.261
2025-09-30,5705631.9465
2025-10-01,5661400.8105
2025-10-02,5604586.335
2025-10-03,6556546.365
2025-10-04,6556546.365
2025-10-05,5091154.9335
2025-10-06,5089553.868
2025-10-07,5607411.495
2025-10-08,5607411.495
2025-10-09,5606386.575
2025-10-10,6558346.59
2025-10-11,6524913.0195
2025-10-12,5037131.3610000005
2025-10-13,6832205.4015
2025-10-14,5551587.7551
2025-10-15,7633905.7754999995
2025-10-16,5550562.8351
2025-10-17,6502522.7715
2025-10-18,6502522.7715
2025-10-19,5018038.92045
2025-10-20,5014637.72925
2025-10-21,5532495.381
2025-10-22,5532495.381
2025-10-23,5531470.461
2025-10-24,6483430.32
2025-10-25,6483430.32
2025-10-26,5018038.92045
2025-10-27,5014637.72925
2025-10-28,5532495.381
2025-10-29,5532495.381
2025-10-30,5531470.461
2025-10-31,6483430.32
2025-11-01,6483430.32
2025-11-02,5018038.92045
2025-11-03,5014637.72925
2025-11-04,5532495.381
2025-11-05,7630218.0885
2025-11-06,5531470.461
2025-11-07,6483430.32
2025-11-08,6483430.32
2025-11-09,5018038.92045
2025-11-10,5028389.5545
2025-11-11,5546247.135
2025-11-12,5546247.135
2025-11-13,5545222.215
2025-11-14,6497182.173
2025-11-15,6497182.173
2025-11-16,5031790.809
2025-11-17,6842269.5825
2025-11-18,7643969.9205
2025-11-19,5577286.8405
2025-11-20,5576261.9205
2025-11-21,6528221.754
2025-11-22,6557174.4975
2025-11-23,5091783.1839
2025-11-24,5137531.1625
2025-11-25,7754503.248
2025-11-26,5655388.7415000005
2025-11-27,5654363.8065
2025-11-28,6591576.978
2025-11-29,6591576.978
2025-11-30,5126185.6764
2025-12-01,5195489.5185
2025-12-02,5713347.1125
2025-12-03,5713347.1125
2025-12-04,5712322.1925
2025-12-05,6649535.4105
2025-12-06,6649535.4105
2025-12-07,7089645.666
2025-12-08,5299722.804
2025-12-09,5817580.4175
2025-12-10,5817580.4175
2025-12-11,5816555.4975000005
2025-12-12,6753768.628500001
2025-12-13,6822077.034
2025-12-14,5356685.568
2025-12-15,5488708.6620000005
2025-12-16,6006566.2755
2025-12-17,6006566.2755
2025-12-18,8095590.597
2025-12-19,6949072.392
2025-12-20,6949072.392
2025-12-21,5477363.1825
2025-12-22,5591833.5645
2025-12-23,6166010.5965
2025-12-24,6166010.5965
2025-12-25,6164985.6765
2025-12-26,7108516.767
2025-12-27,7108516.767
2025-12-28,5636807.3925
2025-12-29,6683042.646
2025-12-30,7211496.5415
2025-12-31,7211496.5415
